,,,,,,ADVERTISING AND PRESS,,,,,,,Campaign materials,,,,,,,Campaign activity,,,Data and infrastructure,,,,,,,,Production Services,,,,Consultancy,,,,,Research,,,,,,,Miscellaneous,,,,,,,,Completely unclear
Supplier,Party,Total Spend,Expense Category,Supplier,More than 1 service,ADVERTISING AND PRESS,Merchandise,Newspaper or magazine advertising,Social media advertising,Online advertising (i.e. web advertising but not online newspapers or social media),"Other forms of advertising (billboards, advans, digital posters outside)",PR,Campaign materials,Design services,Campaign material printing,Paid leaflet delivery/ postage,Event costs/Venue hire,"Creative content owned by a third party (e.g. Getty images, PA images, demo music)",Translation/Braile/British Sign Language services,Campaign activity,Fundraising,Phone banking,Data and infrastructure,Campaign database or CRM,Data Services and analysis,IT infrastructure and support,Telecommunications services,Mobile application services,Email services,Website services,Production Services,Video editing/ production,Audio editing/production,Photos editing/production,Consultancy,Communication consultants,Design consultants,Social media strategy and consultancy,Data consultancy,Research,Polling,Focus groups,Ordinance survey data,Message testing,Archival research,Other forms of research,Miscellaneous,Catering,Accommodation,Expenses claimed by provider,Office infrastructure and supplies,Physical Security,Recruitment services/staffing costs,Transport,Completely unclear
Snap Group,Labour Party,"£130,097.82",Advertising,Snap Group,,,,,"£130,097.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workflowz,Labour Party,"£3,929.99",Advertising,Workflowz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£3,929.99"
Kerreshea Miller,Labour Party,"£6,750.00",Advertising,Kerreshea Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£6,750.00",,,,,,,,,,,,,,,,,,,,,,,
Experian Ltd,Labour Party,"£1,087,075.70",Advertising,Experian Ltd,y,,,,,,,,,,,,,,,,,,,"£368,524.64","£24,000.00","£293,056.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£598,551.60"
Mendez Media,Labour Party,"£46,886.77",Advertising,Mendez Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£46,886.77",,,,,,,,,,,,,,,,,,,,,,,
Newsquest Media Group,Labour Party,"£21,013.72",Advertising,Newsquest Media Group,y,,,"£4,863.72",,"£16,920.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pellacraft,Labour Party,"£75,498.94",Advertising,Pellacraft,,,"£75,498.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPI Media Publishing,Labour Party,"£4,952.40",Advertising,JPI Media Publishing,,,,"£4,952.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate Copsey,Labour Party,"£4,250.01",Advertising,Kate Copsey,,,,,,,,,,"£4,250.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyne Bernard,Labour Party,"£1,500.00",Advertising,Cheyne Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£1,500.00",,,,,,,,,,,,,,,,,,,,,,,
The Color Company,Labour Party,"£1,237.21",Advertising,The Color Company,,,,,,,,,,,"£1,237.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt O'Brien,Labour Party,"£9,600.02",Advertising,Matt O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£9,600.02",,,,,,,,,,,,,,,,,,,,,,,
Amanda Pilkington,Labour Party,"£2,500.01",Advertising,Amanda Pilkington,,,,,,,,,,"£2,500.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro-Ad,Labour Party,"£7,439.31",Advertising,Pro-Ad,,,"£7,439.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Prosser,Labour Party,"£3,227.90",Advertising,Ed Prosser,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£3,227.90",,,,,,,,,,,,,,,,,,,,,,,
Solopress,Labour Party,"£1,850.54",Advertising,Solopress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£1,850.54"
S B Howell,Labour Party,"£17,339.60",Advertising,S B Howell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£17,339.60",,,,,,,,,,,,,,,,,,,,
Antoine Lyons,Labour Party,"£11,130.86",Advertising,Antoine Lyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£7,830.86",,,,,,,,,,,,,,,,,,,,,,,"£3,300.00"
Euro Label Printers,Labour Party,"£13,332.00",Advertising,Euro Label Printers,,,"£13,332.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent Balloons,Labour Party,"£1,245.48",Advertising,Kent Balloons,,,"£1,245.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,Reform UK,"£588,504.20",Advertising,Facebook,,,,,"£588,504.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reach Publishing Services Ltd,Reform UK,"£180,690.00",Advertising,Reach Publishing Services Ltd,,,,"£180,690.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Media House,Reform UK,"£43,776.01",Advertising,Media House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£43,776.01",,
Printbridge Ltd,Reform UK,"£123,684.50",Advertising,Printbridge Ltd,y,,,,,,,,,,"£114,017.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£600.00,,,,,,,,"£9,067.00"
Twitter Uk Ltd,Reform UK,"£2,350.28",Advertising,Twitter Uk Ltd,,,,,"£1,850.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,£500.00
Air Ads Ltd,Reform UK,"£12,660.00",Advertising,Air Ads Ltd,,,,,,,"£7,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£4,860.00"
Solopress,Co-operative Party,"£13,728.88",Advertising,Solopress,,,,,,,,,,,"£13,728.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome Merchandise,Co-operative Party,"£1,295.95",Advertising,Awesome Merchandise,,,"£1,295.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermes Parcelnet Ltd,Co-operative Party,"£1,995.89",Advertising,Hermes Parcelnet Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£1,995.89",,,,,,,,
Pellacraft Limited,Co-operative Party,"£4,744.06",Advertising,Pellacraft Limited,,,"£4,744.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Ireland Limited,Women's Equality Party,"£6,009.24",Advertising,Facebook Ireland Limited,,,,,"£6,009.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Design & Print Ltd,Women's Equality Party,"£1,279.00",Advertising,Urban Design & Print Ltd,,,,,,,,,,,"£1,279.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Media Group Ltd,Women's Equality Party,"£1,200.00",Advertising,M Media Group Ltd,,,,,,,"£1,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quiet Storm,Women's Equality Party,"£70,300.00",Advertising,Quiet Storm,,,,,,,,,,£500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£69,800.00"
Crowdfunder.co.uk,Women's Equality Party,"£1,293.04",Advertising,Crowdfunder.co.uk,,,,,,,,,,,,,,,,,"£1,293.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tradeprint,The Cynon Valley Party [De-registered 06/11/20],"£2,531.15",Advertising,Tradeprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£2,531.15"
Pitney Bowes,The Socialist Party of Great Britain,"£1,844.00",Advertising,Pitney Bowes,,,,,,,,,,,,"£1,844.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greehouse Media,SDLP (Social Democratic & Labour Party),£396.28,Advertising,Greehouse Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,£396.28,,,,,,,,,,,,,,,,,,,,,,,
Leaflet Frog,Green Party,"£29,155.69",Advertising,Leaflet Frog,,,,,,,,,,,"£29,155.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGA Print Ltd t/a Solopress,Green Party,"£19,319.72",Advertising,AGA Print Ltd t/a Solopress,,,,,,,,,,,"£19,319.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,Green Party,"£93,499.23",Advertising,Facebook,,,,,"£93,499.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Knight & Truscott,Green Party,"£30,395.00",Advertising,Brown Knight & Truscott,,,,,,,,,,,"£30,395.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Ireland Ltd,Green Party,"£4,721.81",Advertising,Facebook Ireland Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£4,721.81"
RePrint (LLC) Limited,Green Party,"£4,662.47",Advertising,RePrint (LLC) Limited,,,,,,,,,,,"£4,662.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wight Leaflets,Green Party,"£7,500.00",Advertising,Wight Leaflets,,,,,,,,,,,,"£7,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jog Post,Green Party,"£4,375.00",Advertising,Jog Post,y,,,,,,,,,,£865.00,"£3,510.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Printers,Green Party,"£4,375.00",Advertising,Beacon Printers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£4,375.00"
